Variable Name,Solution Value
"prod_proc[2077,proc,clay,lce]",1819.467198
"prod_proc[2078,proc,brine,loh]",0
"prod_proc[2078,proc,brine,lce]",0
"prod_proc[2078,proc,spod,loh]",3341.7576
"prod_proc[2078,proc,spod,lce]",0
"prod_proc[2078,proc,clay,loh]",0
"prod_proc[2078,proc,clay,lce]",1843.423358
"prod_proc[2079,proc,brine,loh]",0
"prod_proc[2079,proc,brine,lce]",0
"prod_proc[2079,proc,spod,loh]",3384.855716
"prod_proc[2079,proc,spod,lce]",0
"prod_proc[2079,proc,clay,loh]",0
"prod_proc[2079,proc,clay,lce]",1867.197696
"prod_proc[2080,proc,brine,loh]",0
"prod_proc[2080,proc,brine,lce]",0
"prod_proc[2080,proc,spod,loh]",3427.670538
"prod_proc[2080,proc,spod,lce]",0
"prod_proc[2080,proc,clay,loh]",0
"prod_proc[2080,proc,clay,lce]",1890.815759
"prod_proc[2081,proc,brine,loh]",0
"prod_proc[2081,proc,brine,lce]",0
"prod_proc[2081,proc,spod,loh]",3470.246621
"prod_proc[2081,proc,spod,lce]",0
"prod_proc[2081,proc,clay,loh]",0
